,Dataset,Input Size,Type,Classifier,Formated Results,Area Under Curve,Autoencoders
0,O3 Run,4096,Vanilla AE (0.75 Masked),LogisticRegression,"0.5914 (0.5536, 0.6427)",0.5616671834027538,20240131232438:20240131233323:20240131234126:20240131234940
1,O3 Run,4096,Vanilla AE (0.75 Masked),GradientBoostingClassifier,"0.5909 (0.5689, 0.6224)",0.5278054076981705,20240131225414:20240131230049:20240131230813:20240131231530
2,O3 Run,4096,Vanilla AE (0.75 Masked),XGBClassifier,"0.5847 (0.5824, 0.5886)",0.563160073700262,20240126172112:20240126194741:20240126220134:20240127002139
3,O3 Run,4096,Vanilla AE (0.75 Masked),ExtraTreesClassifier,"0.5603 (0.5103, 0.6269)",0.5728856452455591,20240124222545:20240125012237:20240125050018:20240125083809
4,O3 Run,4096,Vanilla AE (0.75 Masked),HBOS,"0.0768 (0.4375, 0.0426)",0.5073999625454366,20240129145238:20240129173519:20240129202002:20240129225947
5,O3 Run,4096,Vanilla AE (0.75 Masked),COPOD,"0.0673 (0.5833, 0.0360)",0.5055059523809524,20240129120905:20240129121545:20240129122159:20240129122812
6,O3 Run,4096,Vanilla AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20240124024633:20240124044931:20240124064708:20240124084942
7,O3 Run,4096,Vanilla AE (0.50 Masked),GradientBoostingClassifier,"0.5923 (0.6123, 0.5981)",0.6069088047029224,20240201152100:20240201164250:20240201180604:20240201192906
8,O3 Run,4096,Vanilla AE (0.50 Masked),XGBClassifier,"0.5869 (0.5800, 0.6112)",0.5535025495067902,20240130041931:20240130042639:20240130043311:20240130043943
9,O3 Run,4096,Vanilla AE (0.50 Masked),LogisticRegression,"0.5747 (0.5834, 0.5912)",0.5435423732762545,20240128204147:20240128205243:20240128210320:20240128211331
10,O3 Run,4096,Vanilla AE (0.50 Masked),RandomForestClassifier,"0.5684 (0.5841, 0.5791)",0.6196883267195767,20240124101806:20240124115411:20240124132452
11,O3 Run,4096,Vanilla AE (0.50 Masked),HBOS,"0.0911 (0.5000, 0.0509)",0.5202245670995671,20240124003257:20240124004416:20240124005544:20240124010528
12,O3 Run,4096,Vanilla AE (0.50 Masked),COPOD,"0.0656 (0.4375, 0.0367)",0.5094132001459588,20240125102229:20240125121147:20240125134714:20240125152233
13,O3 Run,4096,Vanilla AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20240123170923:20240123192615:20240123220829:20240124000920
14,O3 Run,4096,Vanilla AE (0.25 Masked),LogisticRegression,"0.5799 (0.5512, 0.6206)",0.5528668535546384,20240131152632:20240131172607:20240131192902:20240131213739
15,O3 Run,4096,Vanilla AE (0.25 Masked),GradientBoostingClassifier,"0.5709 (0.5083, 0.6593)",0.6116328905338211,20240128080155:20240128080931:20240128081650:20240128082401
16,O3 Run,4096,Vanilla AE (0.25 Masked),XGBClassifier,"0.5677 (0.5549, 0.5937)",0.5991775744780672,20240128080155:20240128080931:20240128081650:20240128082401
17,O3 Run,4096,Vanilla AE (0.25 Masked),HBOS,"0.0995 (0.4500, 0.0570)",0.5242081736909323,20240128080155:20240128080931:20240128081650:20240128082401
18,O3 Run,4096,Vanilla AE (0.25 Masked),COPOD,"0.0911 (0.4167, 0.0512)",0.516999666999667,20240204182711:20240204183129:20240204183554:20240204184011
19,O3 Run,4096,Vanilla AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20240124143054:20240124143508:20240124143910:20240124144322
20,O3 Run,4096,Vanilla AE,XGBClassifier,"0.6295 (0.6107, 0.6567)",0.6169872243252139,20240201072927:20240201095038:20240201113929:20240201132709
21,O3 Run,4096,Vanilla AE,GradientBoostingClassifier,"0.5922 (0.5864, 0.6131)",0.6145615854479621,20240201072927:20240201095038:20240201113929:20240201132709
22,O3 Run,4096,Vanilla AE,LogisticRegression,"0.5704 (0.5621, 0.5844)",0.5861936400293255,20240201072927:20240201095038:20240201113929:20240201132709
23,O3 Run,4096,Vanilla AE,RandomForestClassifier,"0.5520 (0.5524, 0.5717)",0.6260224343557677,20240128160747:20240128172733:20240128185230:20240128201747
24,O3 Run,4096,Vanilla AE,ExtraTreesClassifier,"0.4533 (0.4658, 0.4500)",0.4754173411022069,20240125213842:20240125215821:20240125221730:20240125223354
25,O3 Run,4096,Vanilla AE,HBOS,"0.1298 (0.4500, 0.0759)",0.5334821428571429,20240201072927:20240201095038:20240201113929:20240201132709
26,O3 Run,4096,Vanilla AE,COPOD,"0.0333 (0.2500, 0.0179)",0.4966973886328725,20240125165547:20240125182326:20240125195151:20240125212047
27,O3 Run,4096,Vanilla AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5,20240122215535:20240123031848:20240123083307:20240123143155
28,O3 Run,4096,Adversarial AE (0.75 Masked),XGBClassifier,"0.6353 (0.5861, 0.7004)",0.6403388128873043,20240124191438:20240124225602:20240125014924:20240125052424
29,O3 Run,4096,Adversarial AE (0.75 Masked),ExtraTreesClassifier,"0.6080 (0.5972, 0.6299)",0.6645060865775216,20240124191438:20240124225602:20240125014924:20240125052424
30,O3 Run,4096,Adversarial AE (0.75 Masked),GradientBoostingClassifier,"0.5842 (0.5584, 0.6138)",0.6210132410294048,20240124191438:20240124225602:20240125014924:20240125052424
31,O3 Run,4096,Adversarial AE (0.75 Masked),LogisticRegression,"0.5651 (0.5588, 0.5859)",0.4947856573663948,20240127064041:20240127064702:20240127065303:20240127065918
32,O3 Run,4096,Adversarial AE (0.75 Masked),GMM,"0.5525 (0.4326, 0.8173)",0.4711538461538461,20240129120503:20240129121054:20240129121733:20240129122348
33,O3 Run,4096,Adversarial AE (0.75 Masked),COPOD,"0.0857 (0.2500, 0.0517)",0.5220741901776385,20240129120503:20240129121054:20240129121733:20240129122348
34,O3 Run,4096,Adversarial AE (0.75 Masked),HBOS,"0.0786 (0.5000, 0.0429)",0.5214646464646464,20240124191438:20240124225602:20240125014924:20240125052424
35,O3 Run,4096,Adversarial AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20240124010750:20240124025653:20240124045930:20240124065708
36,O3 Run,4096,Adversarial AE (0.50 Masked),GMM,"0.7513 (0.6027, 1.0000)",0.5,20240126105826:20240126114827:20240126123200:20240126131557
37,O3 Run,4096,Adversarial AE (0.50 Masked),GradientBoostingClassifier,"0.5831 (0.5699, 0.6000)",0.5797107304460246,20240124002532:20240124003519:20240124004632:20240124005807
38,O3 Run,4096,Adversarial AE (0.50 Masked),LogisticRegression,"0.5794 (0.5765, 0.5906)",0.5864307261366084,20240124002532:20240124003519:20240124004632:20240124005807
39,O3 Run,4096,Adversarial AE (0.50 Masked),XGBClassifier,"0.5760 (0.5942, 0.5611)",0.5606052388983648,20240130041356:20240130042136:20240130042842:20240130043510
40,O3 Run,4096,Adversarial AE (0.50 Masked),RandomForestClassifier,"0.5639 (0.5162, 0.6330)",0.5965071451182563,20240124085946:20240124102629:20240124120243
41,O3 Run,4096,Adversarial AE (0.50 Masked),HBOS,"0.1313 (0.6667, 0.0764)",0.5382241215574549,20240124085946:20240124102629:20240124120243
42,O3 Run,4096,Adversarial AE (0.50 Masked),COPOD,"0.0811 (0.2500, 0.0484)",0.5185117302052786,20240126105826:20240126114827:20240126123200:20240126131557
43,O3 Run,4096,Adversarial AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20240123151403:20240123172432:20240123194235:20240123222238
44,O3 Run,4096,Adversarial AE (0.25 Masked),GMM,"0.6564 (0.5305, 0.8893)",0.4508821321321321,20240202111831:20240202112504:20240202113159:20240202113829
45,O3 Run,4096,Adversarial AE (0.25 Masked),GradientBoostingClassifier,"0.6135 (0.6539, 0.5861)",0.6016878603991297,20240202111831:20240202112504:20240202113159:20240202113829
46,O3 Run,4096,Adversarial AE (0.25 Masked),LogisticRegression,"0.5883 (0.5781, 0.6009)",0.6061138819892508,20240201215107:20240201220734:20240201222248:20240201223843
47,O3 Run,4096,Adversarial AE (0.25 Masked),XGBClassifier,"0.5724 (0.6293, 0.5283)",0.6058401073487281,20240202111831:20240202112504:20240202113159:20240202113829
48,O3 Run,4096,Adversarial AE (0.25 Masked),HBOS,"0.1057 (0.4500, 0.0603)",0.5261401557285873,20240130055610:20240130062249:20240130065716:20240130072642
49,O3 Run,4096,Adversarial AE (0.25 Masked),COPOD,"0.0677 (0.5000, 0.0367)",0.5147943885200257,20240130055610:20240130062249:20240130065716:20240130072642
50,O3 Run,4096,Adversarial AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20240124142817:20240124143224:20240124143635:20240124144036
51,O3 Run,4096,Adversarial AE,XGBClassifier,"0.6038 (0.6002, 0.6151)",0.6186214605239468,20240201054933:20240201081321:20240201100444:20240201115319
52,O3 Run,4096,Adversarial AE,ExtraTreesClassifier,"0.5797 (0.5143, 0.6750)",0.6453399033621019,20240125213031:20240125215005:20240125220948:20240125222612
53,O3 Run,4096,Adversarial AE,GradientBoostingClassifier,"0.5737 (0.5440, 0.6157)",0.5779834215313742,20240125153605:20240125170610:20240125183340:20240125200220
