name,dataset,type,len,attempt,leader,input_size,hidden_layers,hidden_layers_divisor,z_layer_divisor,dropout,learning_rate,batch_size,masking,mask_size,gen_loss,disc_loss,val_loss,epochs
20240209090027,Task 1,Adversarial AE,1,0,,4096,1,4,8,0.25,1e-06,16,True,0.75,0.43960983,1.1620761,0.013819173,300
20240209090242,Task 1,Vanilla AE,1,0,20240209090027.0,4096,1,4,8,0.25,1e-06,16,True,0.75,,,0.0180172454565763,300
20240209090429,Task 1,Adversarial AE,1,1,20240209090027.0,4096,1,4,8,0.25,1e-06,16,True,0.75,0.5777915120124817,0.8666731715202332,0.0148568181321024,300
20240209090636,Task 1,Vanilla AE,1,1,20240209090027.0,4096,1,4,8,0.25,1e-06,16,True,0.75,,,0.0180511623620986,300
20240209090821,Task 1,Adversarial AE,1,2,20240209090027.0,4096,1,4,8,0.25,1e-06,16,True,0.75,0.5728384256362915,0.9137463569641112,0.0182910468429327,300
20240209091028,Task 1,Vanilla AE,1,2,20240209090027.0,4096,1,4,8,0.25,1e-06,16,True,0.75,,,0.0183452367782592,300
20240209091143,Task 1,Adversarial AE,1,3,20240209090027.0,4096,1,4,8,0.25,1e-06,16,True,0.75,0.5939937233924866,0.8646906614303589,0.0200826153159141,300
20240209091340,Task 1,Vanilla AE,1,3,20240209090027.0,4096,1,4,8,0.25,1e-06,16,True,0.75,,,0.0181565005332231,300
20240209091507,Task 1,Adversarial AE,1,4,20240209090027.0,4096,1,4,8,0.25,1e-06,16,True,0.75,0.5310189127922058,1.0615992546081543,0.0143173020333051,300
20240209091704,Task 1,Vanilla AE,1,4,20240209090027.0,4096,1,4,8,0.25,1e-06,16,True,0.75,,,0.021885821595788,300
20240209170201,Task 1,Adversarial AE,1,0,,4096,2,2,32,0.5,1e-05,8,True,0.75,0.791408360004425,0.6037159562110901,0.017976189032197,31
20240209170222,Task 1,Adversarial AE,1,0,,4096,2,8,4,0.25,1e-05,32,True,0.75,0.5195387005805969,0.918408215045929,0.0154446009546518,77
20240209170258,Task 1,Vanilla AE,1,1,20240209170222.0,4096,2,8,4,0.25,1e-05,32,True,0.75,,,0.012988805770874,94
