Classifier,Based on AE,sigma,precision,recall,f-score,max_iter,auc,n_estimators,max_depth,min_samples_leaf,numEstimators,C,gamma,kernel,probability,algorithm,leaf_size,n_neighbors,sigma_base,sigma_mult,contamination,n_bins
ReconstructionThreshold,20240209090027,0.8,0.3684210526315789,0.4375,0.3999999999999999,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,1.0,0.5,0.3125,0.3846153846153846,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,1.2000000000000002,0.6666666666666666,0.25,0.3636363636363636,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,1.4,0.6666666666666666,0.25,0.3636363636363636,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,1.6,0.6666666666666666,0.25,0.3636363636363636,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,1.8,0.8,0.25,0.3809523809523809,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,2.0,0.8,0.25,0.3809523809523809,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,2.2,1.0,0.25,0.4,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,2.4000000000000004,1.0,0.25,0.4,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,2.6,1.0,0.125,0.2222222222222222,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,2.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,3.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,3.4000000000000004,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,3.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,3.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,4.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,4.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,4.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,4.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,5.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,5.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209090027,5.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
LogisticRegression,20240209090027,,0.75,0.6,0.6666666666666665,100.0,0.2,,,,,,,,,,,,,,,
ExtraTreesClassifier,20240209090027,,0.8333333333333334,1.0,0.9090909090909092,,0.6,1000.0,,,,,,,,,,,,,,
RandomForestClassifier,20240209090027,,1.0,1.0,1.0,,1.0,10.0,,,,,,,,,,,,,,
