Dataset,Type,Input Size,Classifier,,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation
Task 1,Adversarial AE,4096,Discriminator,0,1.0,1.0,1.0,,,,,
Task 1,Adversarial AE,4096,Discriminator_Thresh_1,0,0.0,0.0,0.0,,,,,
Task 1,Adversarial AE,4096,Discriminator_Thresh_10,0,0.0,0.0,0.0,,,,,
Task 1,Adversarial AE,4096,Discriminator_Thresh_20,0,0.0,0.0,0.0,,,,,
Task 1,Adversarial AE,4096,Discriminator_Thresh_30,0,0.0,0.0,0.0,,,,,
Task 1,Adversarial AE,4096,Discriminator_Thresh_40,0,0.0,0.0,0.0,,,,,
Task 1,Adversarial AE,4096,Discriminator_Thresh_5,0,0.0,0.0,0.0,,,,,
Task 1,Adversarial AE,4096,Discriminator_Thresh_50,0,1.0,1.0,1.0,,,,,
Task 1,Adversarial AE,4096,ExtraTreesClassifier,0,1.0,1.0,1.0,1.0,,,,
Task 1,Adversarial AE,4096,GradientBoostingClassifier,0,1.0,1.0,1.0,1.0,,,,
Task 1,Adversarial AE,4096,KNeighborsClassifier,0,1.0,1.0,1.0,1.0,,,,
Task 1,Adversarial AE,4096,LogisticRegression,0,1.0,1.0,1.0,1.0,,,,
Task 1,Adversarial AE,4096,RandomForestClassifier,0,1.0,1.0,1.0,1.0,,,,
Task 1,Adversarial AE,4096,ReconstructionThreshold_1.05,0,0.9411764705882352,1.0,0.9696969696969696,,,,,
Task 1,Adversarial AE,4096,ReconstructionThreshold_1.1,0,0.9411764705882352,1.0,0.9696969696969696,,,,,
Task 1,Adversarial AE,4096,ReconstructionThreshold_1.5,0,0.9411764705882352,1.0,0.9696969696969696,,,,,
Task 1,Adversarial AE,4096,ReconstructionThreshold_3.0,0,1.0,0.75,0.8571428571428571,,,,,
Task 1,Adversarial AE,4096,ReconstructionThreshold_4.5,0,1.0,0.4375,0.6086956521739131,,,,,
Task 1,Adversarial AE,4096,SVC,0,1.0,1.0,1.0,1.0,,,,
Task 1,Adversarial AE,4096,XGBClassifier,0,1.0,1.0,1.0,1.0,,,,
Task 1,Vanilla AE,4096,Discriminator,0,1.0,0.1875,0.3157894736842105,,,,,
Task 1,Vanilla AE,4096,Discriminator_Thresh_1,0,0.0,0.0,0.0,,,,,
Task 1,Vanilla AE,4096,Discriminator_Thresh_10,0,0.0,0.0,0.0,,,,,
Task 1,Vanilla AE,4096,Discriminator_Thresh_20,0,0.0,0.0,0.0,,,,,
Task 1,Vanilla AE,4096,Discriminator_Thresh_30,0,0.0,0.0,0.0,,,,,
Task 1,Vanilla AE,4096,Discriminator_Thresh_40,0,0.0,0.0,0.0,,,,,
Task 1,Vanilla AE,4096,Discriminator_Thresh_5,0,0.0,0.0,0.0,,,,,
Task 1,Vanilla AE,4096,Discriminator_Thresh_50,0,0.4090909090909091,0.5625,0.4736842105263157,,,,,
Task 1,Vanilla AE,4096,ExtraTreesClassifier,0,1.0,1.0,1.0,1.0,,,,
Task 1,Vanilla AE,4096,GradientBoostingClassifier,0,1.0,1.0,1.0,1.0,,,,
Task 1,Vanilla AE,4096,KNeighborsClassifier,0,1.0,1.0,1.0,1.0,,,,
Task 1,Vanilla AE,4096,LogisticRegression,0,1.0,1.0,1.0,1.0,,,,
Task 1,Vanilla AE,4096,RandomForestClassifier,0,1.0,1.0,1.0,1.0,,,,
Task 1,Vanilla AE,4096,ReconstructionThreshold_1.05,0,0.8039215686274509,0.625,0.6666666666666666,,0.19410774385513063,0.5303300858899106,0.42854956435548336,
Task 1,Vanilla AE,4096,ReconstructionThreshold_1.1,0,0.8705882352941177,0.625,0.6753246753246752,,0.09982683969692427,0.5303300858899106,0.4163052910881838,
Task 1,Vanilla AE,4096,ReconstructionThreshold_1.5,0,0.9642857142857143,0.53125,0.6333333333333333,,0.05050762722761051,0.397747564417433,0.3299831645537221,
Task 1,Vanilla AE,4096,ReconstructionThreshold_3.0,0,1.0,0.1875,0.3157894736842105,,,,,
Task 1,Vanilla AE,4096,ReconstructionThreshold_4.5,0,0.5,0.21875,0.30434782608695654,,0.7071067811865476,0.30935921676911454,0.430412823330942,
Task 1,Vanilla AE,4096,SVC,0,1.0,1.0,1.0,1.0,,,,
Task 1,Vanilla AE,4096,XGBClassifier,0,1.0,1.0,1.0,1.0,,,,
