Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),SVC,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20240219011356:20240219011549:20240219011752:20240219011944:20240219012145,5,"1.0000 (1.0000, 1.0000)"
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),GradientBoostingClassifier,0.9,1.0,0.9375,1.0,0.2,0.0,0.12500000000000006,0.0,20240221230511:20240221230704:20240221230908:20240221231256,4,"0.9375 (0.9000, 1.0000)"
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),GMM,0.8333333333333334,1.0,0.903030303030303,0.5,0.16666666666666669,0.0,0.10013764631429274,0.0,20240222182802:20240222183026:20240222183249,3,"0.9030 (0.8333, 1.0000)"
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),XGBClassifier,0.875,0.9375,0.9017857142857143,0.8541666666666667,0.14433756729740643,0.125,0.12155105867060795,0.17179606773406916,20240221211209:20240221211556:20240221211747:20240221211939,4,"0.9018 (0.8750, 0.9375)"
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),LogisticRegression,0.8055555555555555,1.0,0.8857142857142857,0.638888888888889,0.1734721666221778,0.0,0.10301575072754258,0.19641855032959663,20240221230511:20240221230704:20240221231256,3,"0.8857 (0.8056, 1.0000)"
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),HBOS,0.5133333333333333,0.44666666666666666,0.45999999999999996,0.3208333333333333,0.366363511040909,0.27446918466985204,0.28809720581775866,0.13149778198382917,20240222234225:20240222234443:20240222234704:20240222234925:20240222235142,5,"0.4600 (0.5133, 0.4467)"
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),COPOD,0.36666666666666664,0.21666666666666665,0.24666666666666667,0.4833333333333333,0.4149966532662911,0.2173067468400883,0.2328566559543064,0.14613064930625153,20240223030756:20240223031020:20240223031248:20240223031514:20240223031742,5,"0.2467 (0.3667, 0.2167)"
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_0.80,0.3242424242424242,0.2,0.21868307131465023,,0.23912528078012296,0.24764515945198687,0.20253097100241807,,20240219011356:20240219011549:20240219011752:20240219011944:20240219012145,5,"0.2187 (0.3242, 0.2000)"
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.00,0.1923076923076923,0.1,0.12275862068965515,,0.26367902309234786,0.16298006013006622,0.18430703845297275,,20240222011759:20240222012027:20240222012258:20240222012527:20240222012756,5,"0.1228 (0.1923, 0.1000)"
Task 2 (10% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.20,0.20606060606060606,0.075,0.10136452241715396,,0.30181574783002985,0.11180339887498948,0.14207303827125609,,20240222011759:20240222012027:20240222012258:20240222012527:20240222012756,5,"0.1014 (0.2061, 0.0750)"
