name,dataset,type,len,attempt,leader,input_size,hidden_layers,hidden_layers_divisor,z_layer_divisor,dropout,learning_rate,batch_size,masking,mask_size,gen_loss,disc_loss,val_loss,epochs
20240209090044,Task 2 (25% Noise),Adversarial AE,1,0,,4096,1,8,4,0.5,0.0001,32,True,0.75,0.407466,1.3076092,0.021289494,18
20240209090138,Task 2 (25% Noise),Vanilla AE,1,0,20240209090044.0,4096,1,8,4,0.5,0.0001,32,True,0.75,,,0.0194184966385364,18
20240209090239,Task 2 (25% Noise),Adversarial AE,1,1,20240209090044.0,4096,1,8,4,0.5,0.0001,32,True,0.75,0.4339733719825744,1.333551049232483,0.0191794410347938,16
20240209090333,Task 2 (25% Noise),Vanilla AE,1,1,20240209090044.0,4096,1,8,4,0.5,0.0001,32,True,0.75,,,0.0236851572990417,14
20240209090432,Task 2 (25% Noise),Adversarial AE,1,2,20240209090044.0,4096,1,8,4,0.5,0.0001,32,True,0.75,0.3774353861808777,1.304133653640747,0.0150490943342447,17
20240209090525,Task 2 (25% Noise),Vanilla AE,1,2,20240209090044.0,4096,1,8,4,0.5,0.0001,32,True,0.75,,,0.0192079748958349,23
20240209090617,Task 2 (25% Noise),Adversarial AE,1,3,20240209090044.0,4096,1,8,4,0.5,0.0001,32,True,0.75,0.447735846042633,1.4554715156555176,0.016602125018835,16
20240209090712,Task 2 (25% Noise),Vanilla AE,1,3,20240209090044.0,4096,1,8,4,0.5,0.0001,32,True,0.75,,,0.0153304263949394,18
20240209090808,Task 2 (25% Noise),Adversarial AE,1,4,20240209090044.0,4096,1,8,4,0.5,0.0001,32,True,0.75,0.3850945830345154,1.2420926094055176,0.014248564839363,16
20240209090901,Task 2 (25% Noise),Vanilla AE,1,4,20240209090044.0,4096,1,8,4,0.5,0.0001,32,True,0.75,,,0.0174089539796113,18
20240209090952,Task 2 (25% Noise),Adversarial AE,1,0,,4096,1,4,4,0.5,1e-06,8,False,0.5,0.1979767382144928,1.769209623336792,0.0060609388165175,300
20240209091235,Task 2 (25% Noise),Vanilla AE,1,0,20240209090952.0,4096,1,4,4,0.5,1e-06,8,False,0.5,,,0.0036214471329003,300
20240209091415,Task 2 (25% Noise),Adversarial AE,1,1,20240209090952.0,4096,1,4,4,0.5,1e-06,8,False,0.5,0.1446370333433151,2.0088560581207275,0.0031990867573767,300
20240209091657,Task 2 (25% Noise),Vanilla AE,1,1,20240209090952.0,4096,1,4,4,0.5,1e-06,8,False,0.5,,,0.0076526864431798,300
20240209091840,Task 2 (25% Noise),Adversarial AE,1,2,20240209090952.0,4096,1,4,4,0.5,1e-06,8,False,0.5,0.1016282811760902,2.843200922012329,0.0030912219081074,300
20240209092124,Task 2 (25% Noise),Vanilla AE,1,2,20240209090952.0,4096,1,4,4,0.5,1e-06,8,False,0.5,,,0.004579815082252,300
