Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.00,0.4707743334609006,0.850074074074074,0.5990968940999566,,0.08259813937205798,0.0972285359501923,0.059677706151228284,,20240229000807:20240229001203:20240229001557:20240229001953:20240229002343,5,"0.5991 (0.4708, 0.8501)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.20,0.5040992355678273,0.7292079772079771,0.5855712749234714,,0.06305015226475574,0.15824643976587244,0.05854535951349543,,20240229000807:20240229001203:20240229001557:20240229001953:20240229002343,5,"0.5856 (0.5041, 0.7292)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_0.80,0.42607442348008384,0.8877037037037037,0.5715880137062023,,0.06171136054178633,0.07791099702089638,0.049587648892037456,,20240228234047:20240228234652:20240228235238:20240228235831:20240229000422,5,"0.5716 (0.4261, 0.8877)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.40,0.5181596002572602,0.6687635327635328,0.5694116488449569,,0.06865013912301393,0.1747451285049224,0.055031364359911725,,20240229000807:20240229001203:20240229001557:20240229001953:20240229002343,5,"0.5694 (0.5182, 0.6688)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.00,0.8852631578947369,0.3945527065527065,0.5399873557768294,,0.20527665272778747,0.0395047629231938,0.07086103418666916,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.5400 (0.8853, 0.3946)"
Task 3,4096,Vanilla AE (0.75 Masked),GradientBoostingClassifier,0.5416666666666666,0.5833333333333333,0.5388888888888889,0.6970052083333333,0.11666666666666665,0.2041241452319315,0.11239993263328525,0.08358076872207872,20240229004635:20240229004846:20240229005251:20240229005457,4,"0.5389 (0.5417, 0.5833)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.80,0.8434898434898436,0.40196011396011394,0.5378549209904193,,0.21844580722823154,0.04553048134977392,0.08314356146454675,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.5379 (0.8435, 0.4020)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.60,0.7950928381962865,0.417059829059829,0.5345299145299145,,0.2498275619164202,0.047624618815640785,0.097292592171704,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.5345 (0.7951, 0.4171)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.20,0.9133333333333333,0.37914529914529915,0.5330415689850863,,0.14452988925785867,0.029322869627519538,0.04430257573256634,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.5330 (0.9133, 0.3791)"
Task 3,4096,Vanilla AE (0.75 Masked),XGBClassifier,0.669047619047619,0.4928571428571429,0.5290909090909091,0.7417132867132867,0.22499685057004665,0.1682745569912821,0.0834186890687597,0.06534618676267322,20240228234047:20240228234652:20240228235238:20240228235831:20240229000422,5,"0.5291 (0.6690, 0.4929)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.40,0.9466666666666667,0.36373789173789167,0.5246590243494268,,0.07673909622147555,0.019119742812670995,0.022287446979901426,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.5247 (0.9467, 0.3637)"
Task 3,4096,Vanilla AE (0.75 Masked),COPOD,0.8,0.42666666666666664,0.5166666666666666,0.7133333333333334,0.4472135954999579,0.3875851160999636,0.38369548110737794,0.1937925580499818,20240229000807:20240229001203:20240229001557:20240229001953:20240229002343,5,"0.5167 (0.8000, 0.4267)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.60,0.9800000000000001,0.348045584045584,0.5133403533403533,,0.04472135954999578,0.02237954393315356,0.027447726727047088,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.5133 (0.9800, 0.3480)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.80,0.8795093795093795,0.3344159544159544,0.4806720032726225,,0.0724560611060685,0.0771481354702475,0.08789723758298956,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.4807 (0.8795, 0.3344)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.00,0.9244444444444444,0.31960113960113956,0.4643993739070139,,0.07345108391572626,0.10585155601645457,0.12565667274943196,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.4644 (0.9244, 0.3196)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.20,0.9214141414141415,0.30419373219373214,0.4486099002228034,,0.07830205042595034,0.09174275437909779,0.11186825036704323,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.4486 (0.9214, 0.3042)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.40,0.9386363636363637,0.2893789173789173,0.4344700460829493,,0.08639353549431006,0.08802846771446399,0.10870370932801515,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.4345 (0.9386, 0.2894)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.60,0.935064935064935,0.2745641025641025,0.41648685280563835,,0.08997666532825337,0.08890632453734156,0.10877461042073311,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.4165 (0.9351, 0.2746)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.80,0.9377777777777778,0.25174928774928773,0.3900162645703442,,0.09081251885201133,0.09620448091706292,0.1259529041846808,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.3900 (0.9378, 0.2517)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.00,0.9377777777777778,0.22183475783475784,0.3509625668449197,,0.09081251885201133,0.09313635991980192,0.12426218523877991,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.3510 (0.9378, 0.2218)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.20,0.975,0.1836353276353276,0.3030742913000977,,0.05590169943749474,0.06943737592778987,0.09291271880322635,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.3031 (0.9750, 0.1836)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.40,1.0,0.16141310541310536,0.2692853170189099,,0.0,0.09260844396422444,0.1361116960643036,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.2693 (1.0000, 0.1614)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.60,1.0,0.13745868945868944,0.23760368663594464,,0.0,0.06261376655582321,0.0929674819847075,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.2376 (1.0000, 0.1375)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.80,1.0,0.13745868945868944,0.23760368663594464,,0.0,0.06261376655582321,0.0929674819847075,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.2376 (1.0000, 0.1375)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_5.00,1.0,0.12264387464387463,0.21357699030668992,,0.0,0.0679850834735536,0.10149063034034393,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.2136 (1.0000, 0.1226)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_5.20,1.0,0.1078290598290598,0.18786270459240423,,0.0,0.07839964703361034,0.12032986751249965,,20240229004635:20240229004846:20240229005051:20240229005251:20240229005457,5,"0.1879 (1.0000, 0.1078)"
Task 3,4096,Vanilla AE (0.75 Masked),LogisticRegression,0.24,0.15333333333333332,0.18636363636363634,0.5341195324283559,0.43358966777357594,0.2599145158615724,0.3247694668708409,0.15232874371422014,20240228231206:20240228231420:20240228231629:20240228231834:20240228232045,5,"0.1864 (0.2400, 0.1533)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_5.40,0.8,0.1004216524216524,0.17357699030668994,,0.4472135954999579,0.08793074810627231,0.14020715772580705,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.1736 (0.8000, 0.1004)"
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_5.60,0.8,0.1004216524216524,0.17357699030668994,,0.4472135954999579,0.08793074810627231,0.14020715772580705,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.1736 (0.8000, 0.1004)"
Task 3,4096,Vanilla AE (0.75 Masked),HBOS,0.2,0.03333333333333332,0.05714285714285714,0.5116666666666667,0.447213595499958,0.07453559924999296,0.12777531299998798,0.041499665326629125,20240228231206:20240228231420:20240228231629:20240228231834:20240228232045,5,"0.0571 (0.2000, 0.0333)"
Task 3,4096,Vanilla AE (0.75 Masked),ABOD,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.0000 (0.0000, 0.0000)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.40,0.5961018711018712,0.6522621082621083,0.607122296060556,,0.19006623432442438,0.09302575340814294,0.12057973089634105,,20240220211339:20240220211547:20240220211805:20240220212014:20240221003612,5,"0.6071 (0.5961, 0.6523)"
