Classifier,Based on AE,sigma,precision,recall,f-score,max_iter,auc,n_estimators,max_depth,min_samples_leaf,numEstimators,C,gamma,kernel,probability,algorithm,leaf_size,n_neighbors,contamination,n_bins,sigma_base,sigma_mult
ReconstructionThreshold,20240209141704,0.8,0.4347826086956521,0.7407407407407407,0.5479452054794521,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,1.0,0.4722222222222222,0.6296296296296297,0.5396825396825397,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,1.2000000000000002,0.5555555555555556,0.5555555555555556,0.5555555555555556,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,1.4,0.5789473684210527,0.4074074074074074,0.4782608695652173,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,1.6,0.5,0.2222222222222222,0.3076923076923076,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,1.8,0.8,0.1481481481481481,0.25,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,2.0,1.0,0.1111111111111111,0.1999999999999999,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,2.2,1.0,0.074074074074074,0.1379310344827586,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,2.4000000000000004,1.0,0.037037037037037,0.0714285714285714,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,2.6,1.0,0.037037037037037,0.0714285714285714,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,2.8,1.0,0.037037037037037,0.0714285714285714,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,3.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,3.4000000000000004,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,3.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,3.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,4.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,4.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,4.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,4.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,5.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,5.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141704,5.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
LogisticRegression,20240209141704,,0.0,0.0,0.0,100.0,0.6078431372549019,,,,,,,,,,,,,,,
ExtraTreesClassifier,20240209141704,,0.0,0.0,0.0,,0.7549019607843137,100.0,,,,,,,,,,,,,,
RandomForestClassifier,20240209141704,,0.3333333333333333,0.6666666666666666,0.4444444444444444,,0.8235294117647058,10.0,,,,,,,,,,,,,,
GradientBoostingClassifier,20240209141704,,0.2,0.6666666666666666,0.3076923076923076,,0.5098039215686274,,5.0,1.0,,,,,,,,,,,,
XGBClassifier,20240209141704,,0.5,0.6666666666666666,0.5714285714285715,,0.7450980392156863,,,,1000.0,,,,,,,,,,,
SVC,20240209141704,,0.0,0.0,0.0,,0.7254901960784313,,,,,100.0,0.01,rbf,True,,,,,,,
KNeighborsClassifier,20240209141704,,0.2222222222222222,0.6666666666666666,0.3333333333333333,,0.6274509803921569,,,,,,,,,kd_tree,1.0,1.0,,,,
ABOD,20240209141704,,0.0,0.0,0.0,,0.5,,,,,,,,,,,1.0,1e-07,,,
COPOD,20240209141704,,0.0,0.0,0.0,,0.5,,,,,,,,,,,,1e-07,,,
HBOS,20240209141704,,0.0,0.0,0.0,,0.5,,,,,,,,,,,,1e-07,3.0,,
ReconstructionThreshold,20240209141849,0.8,0.4,0.9629629629629628,0.5652173913043479,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,1.0,0.4680851063829787,0.8148148148148148,0.5945945945945945,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,1.2000000000000002,0.525,0.7777777777777778,0.6268656716417911,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,1.4,0.5454545454545454,0.6666666666666666,0.6,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,1.6,0.5483870967741935,0.6296296296296297,0.5862068965517241,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,1.8,0.6818181818181818,0.5555555555555556,0.6122448979591836,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,2.0,0.7647058823529411,0.4814814814814814,0.5909090909090909,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,2.2,0.7142857142857143,0.1851851851851851,0.2941176470588235,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,2.4000000000000004,0.6,0.1111111111111111,0.1875,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,2.6,0.5,0.037037037037037,0.0689655172413793,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,2.8,0.5,0.037037037037037,0.0689655172413793,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,3.0,1.0,0.037037037037037,0.0714285714285714,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,3.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,3.4000000000000004,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,3.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209141849,3.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
