Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_0.80,0.4624085499893792,0.7736904761904762,0.5786831885412828,,0.021749754403057795,0.06758480577228436,0.03565511436684661,,20240218020836:20240218031030:20240218034819:20240218043351,4,"0.5787 (0.4624, 0.7737)"
O3 Run,4096,Vanilla AE (0.75 Masked),XGBClassifier,0.5722053808260705,0.6056900527009222,0.5765906377537003,0.5926114449190361,0.07655987955100281,0.13043605624968732,0.03111597455617041,0.04562798517982896,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.5766 (0.5722, 0.6057)"
O3 Run,4096,Vanilla AE (0.75 Masked),LogisticRegression,0.5602449223416965,0.5984711242863416,0.5698412698412698,0.5574701827030237,0.04617682198327358,0.12655543859955706,0.045880184928361316,0.08964480787726677,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.5698 (0.5602, 0.5985)"
O3 Run,4096,Vanilla AE (0.75 Masked),GradientBoostingClassifier,0.5622720897615708,0.5545536890645586,0.5451972053619131,0.5487489941121713,0.05477895324858983,0.18419333275881655,0.09551009395385955,0.07847206871123152,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.5452 (0.5623, 0.5546)"
O3 Run,4096,Vanilla AE (0.75 Masked),ExtraTreesClassifier,0.5063120149327045,0.5952233250620347,0.5418038140020899,0.5763535918540662,0.08299944181946393,0.16299403988833885,0.10417039210501662,0.05829348906462554,20240214092202:20240214114731:20240214142943:20240214171901,4,"0.5418 (0.5063, 0.5952)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.00,0.4467603024274266,0.37369047619047613,0.40602954724646423,,0.03719222389327092,0.07197187554341339,0.05770111174826814,,20240220075004:20240220083605:20240220094012:20240220102558,4,"0.4060 (0.4468, 0.3737)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.20,0.44418896321070234,0.06455026455026452,0.11185346997321624,,0.14339952408417198,0.028228889252051345,0.04630150202067251,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.1119 (0.4442, 0.0646)"
O3 Run,4096,Vanilla AE (0.75 Masked),HBOS,0.1875,0.03125,0.05357142857142855,0.4955897177419355,0.375,0.0625,0.1071428571428571,0.04575949508726315,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0536 (0.1875, 0.0312)"
O3 Run,4096,Vanilla AE (0.75 Masked),COPOD,0.25,0.017549261083743824,0.03279569892473115,0.4946807151979566,0.28867513459481287,0.02027037730147742,0.037879386997437675,0.008895061420232126,20240218145745:20240218151614:20240218153921:20240218160228,4,"0.0328 (0.2500, 0.0175)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.40,0.5,0.00357142857142855,0.00709219858156025,,0.5773502691896257,0.004123930494211588,0.008189365520420185,,20240218145745:20240218151614:20240218153921:20240218160228,4,"0.0071 (0.5000, 0.0036)"
O3 Run,4096,Vanilla AE (0.75 Masked),ABOD,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
