Classifier,Based on AE,sigma,precision,recall,f-score,max_iter,auc,n_estimators,max_depth,min_samples_leaf,numEstimators,C,gamma,kernel,probability,algorithm,leaf_size,n_neighbors,contamination,n_bins,sigma_base,sigma_mult
ReconstructionThreshold,20240209142141,0.8,0.4408163265306122,0.72,0.5468354430379747,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,1.0,0.4035087719298245,0.3066666666666666,0.3484848484848485,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,1.2000000000000002,0.0909090909090909,0.0066666666666666,0.0124223602484472,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,1.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,1.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,1.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,2.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,2.4000000000000004,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,2.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,2.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,3.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,3.4000000000000004,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,3.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,3.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,4.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,4.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,4.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,4.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,5.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,5.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
ReconstructionThreshold,20240209142141,5.6000000000000005,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
